mode,n,max_dtw_dist,runtime,compression_ratio
REST-SF30,0,200,1848.711025017,0
REST-SF30,5000,200,14952.983489439,17.813617173006197
REST-SF30,10000,200,24233.280319179,16.044634952596887
REST-SF30,15000,200,31610.085003829,13.217832857103447
REST-SF30,20000,200,32841.169708774,11.76056609168672
REST-SF30,25000,200,34099.180470639,10.918031620899656
REST-SF30,30000,200,35260.56836548,10.231322972672764
REST-SF30,35000,200,36258.443847534,9.640426863347315
REST-SF30,40000,200,37602.291083128,9.368205618490354
REST-SF30,45000,200,39118.253214576,9.18804050987143
REST-SF30,50000,200,40555.465116225,9.025916144481744
REST-SF30,55000,200,42325.515653865,8.89645313421859
REST-SF30,60000,200,43696.028049163,8.764603830035487
REST-SF30,65000,200,44890.248481961,8.602847167438469
REST-SF30,70000,200,46328.216831894,8.517790031632211
REST-SF30,75000,200,47604.22702261,8.474603052659512
REST-SF30,80000,200,48874.426771849,8.424723022520725
REST-SF30,85000,200,50050.951682367,8.372252075591781
REST-SF30,90000,200,51881.339606718,8.363592714155386
REST-SF30,95000,200,52760.071174765,8.282046074614824
REST-SF30-BND40,0,200,1607.211492908,0
REST-SF30-BND40,5000,200,6273.656416139,18.088300016209203
REST-SF30-BND40,10000,200,9459.51484026,16.34051882327924
REST-SF30-BND40,15000,200,13688.696013336,13.668294044172146
REST-SF30-BND40,20000,200,14830.876456845,12.292759340081298
REST-SF30-BND40,25000,200,15960.081087604,11.476261899493903
REST-SF30-BND40,30000,200,16942.197848245,10.755730911670991
REST-SF30-BND40,35000,200,17762.959470989,10.161123597418698
REST-SF30-BND40,40000,200,18787.538516147,9.949139160698754
REST-SF30-BND40,45000,200,20087.473278547,9.785941535917196
REST-SF30-BND40,50000,200,21155.888339056,9.618420017915009
REST-SF30-BND40,55000,200,22250.949224429,9.488224100471708
REST-SF30-BND40,60000,200,23255.965056189,9.365734591417556
REST-SF30-BND40,65000,200,24318.721797495,9.187652575676774
REST-SF30-BND40,70000,200,25566.392636624,9.101095830208425
REST-SF30-BND40,75000,200,26760.16179274,9.064460361205578
REST-SF30-BND40,80000,200,27980.742716898,9.01169689533451
REST-SF30-BND40,85000,200,29084.491674864,8.965816071955334
REST-SF30-BND40,90000,200,30642.869068031,8.972742782082845
REST-SF30-BND40,95000,200,31729.455795611,8.894464617776144
REST-BND40,0,200,15401.603408984,0
REST-BND40,5000,200,22997.277728509,14.154736160499336
REST-BND40,10000,200,31598.363213732,13.258956434536573
REST-BND40,15000,200,44762.131574849,12.265699012759722
REST-BND40,20000,200,56254.729473407,11.722266597127371
REST-BND40,25000,200,67537.867436683,11.414608191307375
REST-BND40,30000,200,79465.827820091,11.000978239374069
REST-BND40,35000,200,92231.323988504,10.624580835267981
REST-BND40,40000,200,103650.026724592,10.591219818715652
REST-BND40,45000,200,114680.292615473,10.565469528535438
REST-BND40,50000,200,126821.123614515,10.516576357864315
REST-BND40,55000,200,138233.530911431,10.491098755935369
REST-BND40,60000,200,149270.198348729,10.451168039008422
REST-BND40,65000,200,161758.605611886,10.342854756456722
REST-BND40,70000,200,172726.268848339,10.308749764418002
REST-BND40,75000,200,183974.145772507,10.334422973372329
REST-BND40,80000,200,194988.015974797,10.319808358866872
REST-BND40,85000,200,206684.509929152,10.322543451684224
REST-BND40,90000,200,218815.239688284,10.379005645509366
REST-BND40,95000,200,230671.929174517,10.330650084028017
DP,0,200,2.8071115989999997,0
DP,5000,200,72706.077432769,1.6996512158688628
