mode,n,dtw_error,set_size,window,seconds,avg_cr,tot_cr
REST,20000,200,10000,0,37273,14.57,7.26
REST,40000,200,10000,0,65199,14.45,8.56
REST,60000,200,10000,0,92331,14.48,9.12
REST_EXCL,20000,200,10000,0,31340,5.08,3.89
REST_EXCL,40000,200,10000,0,54579,5.09,4.06
REST_EXCL,60000,200,10000,0,77604,5.04,4.11
REST-SF35,20000,200,10000,0,15212,12.10,3.92
REST-SF35,40000,200,10000,0,19801,12.04,5.15
REST-SF35,60000,200,10000,0,25829,12.02,5.75
REST-SF35,80000,200,10000,0,29973,12.26,6.19
REST-SF35,100000,200,10000,0,33554,12.17,6.38
REST-SF70,20000,200,10000,0,6377,13.14,4.95
REST-SF70,40000,200,10000,0,10610,13.08,6.27
REST-SF70,60000,200,10000,0,15064,13.08,6.89
REST-SF70,80000,200,10000,0,19485,13.31,7.33
REST-SF70,100000,200,10000,0,24139,13.23,7.52
REST-SF70-KNN3,20000,200,10000,3,2111,12.52,4.83
REST-SF70-KNN3,40000,200,10000,3,3683,12.46,6.12
REST-SF70-KNN3,60000,200,10000,3,5189,12.44,6.71
REST-SF70-KNN3,80000,200,10000,3,6832,12.64,7.14
REST-SF70-KNN3,100000,200,10000,3,8399,12.57,7.33
REST-KNN3,20000,200,10000,3,37826,13.94,7.08
REST-KNN3,40000,200,10000,3,66364,13.84,8.34
REST-KNN3,60000,200,10000,3,94094,13.85,8.89
REST-KNN3,80000,200,10000,3,121832,14.08,9.28
REST-KNN3,100000,200,10000,3,149913,14.01,9.42
